,country,iso_numeric,g_whoregion,year,lab_sm,lab_sm_eqa,lab_sm_eqa_pass,lab_sm_led,lab_cul,lab_dst,lab_dst_eqa,lab_dst_eqa_pass,lab_lpa,lab_lpa_eqa,lab_xpert,lab_xpert_eqa,sldst_avail_incntry,sldst_avail_outcntry,collab_private_lab,collab_public_lab,nrl,nrl_srl_link,nrl_qms,iso2,iso3
1170,196,788,2,2013,75.0,75.0,64.0,5.0,11.0,5.0,5.0,5.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,194,197
1207,203,804,3,2014,676.0,643.0,643.0,0.0,65.0,24.0,24.0,23.0,3.0,0.0,25.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,200,202
1236,208,858,1,2013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,203,203
1237,208,858,1,2014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,203,203
1248,209,860,3,2013,305.0,281.0,254.0,2.0,7.0,2.0,2.0,2.0,3.0,2.0,11.0,11.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,204,205
1249,209,860,3,2014,325.0,325.0,325.0,2.0,7.0,2.0,2.0,2.0,3.0,2.0,24.0,21.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,204,205
1254,210,548,5,2013,11.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,210,211
1255,210,548,5,2014,10.0,6.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,210,211
1260,211,862,1,2013,263.0,130.0,112.0,0.0,16.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,206,207
1261,211,862,1,2014,257.0,118.0,101.0,0.0,10.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,206,207
1266,212,704,5,2013,975.0,956.0,872.0,24.0,24.0,2.0,2.0,2.0,2.0,0.0,27.0,22.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,209,210
1267,212,704,5,2014,989.0,982.0,922.0,20.0,23.0,2.0,0.0,0.0,2.0,0.0,30.0,22.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,209,210
1279,214,275,2,2014,17.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,158,161
1285,215,887,2,2014,225.0,219.0,207.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,213,214
1296,217,716,0,2013,211.0,187.0,177.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,58.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,216,217
