,country,iso_numeric,g_whoregion,year,lab_sm,lab_sm_eqa,lab_sm_eqa_pass,lab_sm_led,lab_cul,lab_dst,lab_dst_eqa,lab_dst_eqa_pass,lab_lpa,lab_lpa_eqa,lab_xpert,lab_xpert_eqa,sldst_avail_incntry,sldst_avail_outcntry,collab_private_lab,collab_public_lab,nrl,nrl_srl_link,nrl_qms,iso2,iso3
387,64,222,1,2014,195.0,195.0,195.0,58.0,25.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,182,173
398,66,232,0,2013,59.0,31.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,60,61
399,66,232,0,2014,64.0,55.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,60,61
404,67,233,3,2013,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,58,63
405,67,233,3,2014,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,58,63
416,69,242,5,2013,4.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,64,66
417,69,242,5,2014,5.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,64,66
440,73,266,0,2013,20.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,67,69
441,73,266,0,2014,17.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,67,69
446,74,270,0,2013,33.0,33.0,33.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,73,74
447,74,270,0,2014,33.0,30.0,28.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,73,74
452,75,268,3,2013,11.0,11.0,10.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,70,71
453,75,268,3,2014,11.0,11.0,10.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,11.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,70,71
465,77,288,0,2014,300.0,272.0,246.0,156.0,3.0,3.0,2.0,2.0,2.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,71,72
494,82,320,1,2013,267.0,267.0,147.0,50.0,12.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,77,80
495,82,320,1,2014,289.0,284.0,216.0,50.0,10.0,3.0,1.0,1.0,3.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,77,80
500,83,324,0,2013,55.0,49.0,40.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,74,73
501,83,324,0,2014,55.0,28.0,21.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,74,73
507,84,624,0,2014,20.0,20.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,79,75
512,85,328,1,2013,24.0,20.0,20.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,80,82
513,85,328,1,2014,20.0,15.0,15.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,80,82
524,87,340,1,2013,173.0,119.0,118.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,82,84
525,87,340,1,2014,184.0,146.0,146.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,82,84
537,89,352,3,2014,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,92,93
548,91,360,4,2013,5566.0,2616.0,1962.0,0.0,18.0,10.0,10.0,7.0,2.0,2.0,23.0,23.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,86,88
549,91,360,4,2014,5689.0,3413.0,2275.0,0.0,20.0,15.0,15.0,12.0,2.0,2.0,41.0,41.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,86,88
554,92,364,2,2013,401.0,240.0,240.0,40.0,55.0,12.0,12.0,12.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,91,91
555,92,364,2,2014,401.0,240.0,240.0,40.0,55.0,12.0,12.0,12.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,91,91
561,93,368,2,2014,286.0,274.0,271.0,0.0,10.0,1.0,1.0,0.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,90,92
566,94,372,3,2013,11.0,11.0,11.0,5.0,9.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,87,90
567,94,372,3,2014,11.0,11.0,11.0,5.0,10.0,3.0,2.0,2.0,2.0,2.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,87,90
584,97,388,1,2013,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,94,96
585,97,388,1,2014,3.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,94,96
